longitude,latitude,sea_temperature
-78.1,-1.04,0.0
-78.1,-0.79,0.0
-78.1,-0.54,0.0
-78.1,-0.29,0.0
-78.1,-0.04,0.0
-78.1,0.21,0.0
-78.1,0.46,0.0
-78.1,0.71,0.0
-78.1,0.96,0.0
-78.1,1.21,0.0
-78.1,1.46,0.0
-78.1,1.71,0.0
-78.1,1.96,0.0
-78.1,2.21,0.0
-78.1,2.46,26.419287
-78.1,2.71,26.472736
-78.1,2.96,26.699291
-78.1,3.21,26.902134
-78.1,3.46,26.826294
-78.1,3.71,26.808718
-78.1,3.96,26.833157
-78.1,4.21,26.865177
-78.1,4.46,26.888771
-78.1,4.71,26.94523
-78.1,4.96,26.98616
-78.1,5.21,27.088964
-78.1,5.46,27.033108
-78.1,5.71,27.063324
-78.1,5.96,27.190687
-78.1,6.21,27.231014
-78.1,6.46,27.356934
-78.1,6.71,27.523058
-78.1,6.96,27.562904
-78.1,7.21,27.417967
-78.1,7.46,0.0
-78.1,7.71,0.0
-78.1,7.96,0.0
-78.1,8.21,0.0
-78.1,8.46,0.0
-78.1,8.71,0.0
-78.1,8.96,0.0
-78.1,9.21,27.813898
-78.1,9.46,27.984478
-78.1,9.71,27.875532
-78.1,9.96,27.671368
-78.1,10.21,27.605881
-78.1,10.46,27.625502
-78.1,10.71,27.649218
-78.1,10.96,27.613705
-78.1,11.21,27.569525
-78.1,11.46,27.554958
-78.1,11.71,27.527634
-78.1,11.96,27.478758
-78.1,12.21,27.475147
-78.1,12.46,27.553755
-77.85,-4.29,0.0
-77.85,-4.04,0.0
-77.85,-3.79,0.0
-77.85,-3.54,0.0
-77.85,-3.29,0.0
-77.85,-3.04,0.0
-77.85,-2.79,0.0
-77.85,-2.54,0.0
-77.85,-2.29,0.0
-77.85,-2.04,0.0
-77.85,-1.79,0.0
-77.85,-1.54,0.0
-77.85,-1.29,0.0
-77.85,-1.04,0.0
-77.85,-0.79,0.0
-77.85,-0.54,0.0
-77.85,-0.29,0.0
-77.85,-0.04,0.0
-77.85,0.21,0.0
-77.85,0.46,0.0
-77.85,0.71,0.0
-77.85,0.96,0.0
-77.85,1.21,0.0
-77.85,1.46,0.0
-77.85,1.71,0.0
-77.85,1.96,0.0
-77.85,2.21,0.0
-77.85,2.46,0.0
-77.85,2.71,26.450947
-77.85,2.96,0.0
-77.85,3.21,26.778021
-77.85,3.46,26.7206
-77.85,3.71,26.674011
-77.85,3.96,26.776457
-77.85,4.21,26.807877
-77.85,4.46,26.807877
-77.85,4.71,26.870834
-77.85,4.96,26.953297
-77.85,5.21,27.108107
-77.85,5.46,27.03371
-77.85,5.71,27.144941
-77.85,5.96,27.292528
-77.85,6.21,27.310947
-77.85,6.46,27.438311
-77.85,6.71,0.0
-77.85,6.96,0.0
-77.85,7.21,27.286631
-77.85,7.46,0.0
-77.85,7.71,0.0
-77.85,7.96,0.0
-77.85,8.21,0.0
-77.85,8.46,0.0
-77.85,8.71,0.0
-77.85,8.96,27.965218
-77.85,9.21,27.919352
-77.85,9.46,27.904785
-77.85,9.71,27.716391
-77.85,9.96,27.635855
-77.85,10.21,27.579878
-77.85,10.46,27.600464
-77.85,10.71,27.622011
-77.85,10.96,27.591434
-77.85,11.21,27.612379
-77.85,11.46,27.655598
-77.85,11.71,27.606241
-77.85,11.96,27.516558
-77.85,12.21,27.453358
-77.85,12.46,27.437347
-77.6,-4.29,0.0
-77.6,-4.04,0.0
-77.6,-3.79,0.0
-77.6,-3.54,0.0
-77.6,-3.29,0.0
-77.6,-3.04,0.0
-77.6,-2.79,0.0
-77.6,-2.54,0.0
-77.6,-2.29,0.0
-77.6,-2.04,0.0
-77.6,-1.79,0.0
-77.6,-1.54,0.0
-77.6,-1.29,0.0
-77.6,-1.04,0.0
-77.6,-0.79,0.0
-77.6,-0.54,0.0
-77.6,-0.29,0.0
-77.6,-0.04,0.0
-77.6,0.21,0.0
-77.6,0.46,0.0
-77.6,0.71,0.0
-77.6,0.96,0.0
-77.6,1.21,0.0
-77.6,1.46,0.0
-77.6,1.71,0.0
-77.6,1.96,0.0
-77.6,2.21,0.0
-77.6,2.46,0.0
