longitude,latitude,accumulated_precipitation
-78.1,-1.79,0.105492
-78.1,-1.54,0.081122
-78.1,-1.29,0.151562
-78.1,-1.04,0.241364
-78.1,-0.79,0.129195
-78.1,-0.54,0.169255
-78.1,-0.29,0.312137
-78.1,-0.04,0.329496
-78.1,0.21,0.232684
-78.1,0.46,0.329163
-78.1,0.71,0.487735
-78.1,0.96,2.057099
-78.1,1.21,3.512291
-78.1,1.46,2.325169
-78.1,1.71,1.550335
-78.1,1.96,0.904362
-78.1,2.21,0.140545
-78.1,2.46,0.010349
-78.1,2.71,0.007011
-78.1,2.96,0.007344
-78.1,3.21,0.003338
-78.1,3.46,0.001335
-78.1,3.71,0.003338
-78.1,3.96,0.004006
-78.1,4.21,0.023035
-78.1,4.46,0.04006
-78.1,4.71,0.065432
-78.1,4.96,0.05308
-78.1,5.21,0.017359
-78.1,5.46,0.023035
-78.1,5.71,0.033384
-78.1,5.96,0.036054
-78.1,6.21,0.04874
-78.1,6.46,0.037723
-78.1,6.71,0.013687
-78.1,6.96,0.022033
-78.1,7.21,0.033717
-78.1,7.46,0.043399
-78.1,7.71,0.085128
-78.1,7.96,0.172927
-78.1,8.21,0.193959
-78.1,8.46,0.102488
-78.1,8.71,0.071441
-78.1,8.96,0.09748
-78.1,9.21,0.194627
-78.1,9.46,0.222335
-78.1,9.71,0.130196
-78.1,9.96,0.095811
-78.1,10.21,0.107161
-78.1,10.46,0.114506
-78.1,10.71,0.086797
-78.1,10.96,0.085128
-78.1,11.21,0.057086
-78.1,11.46,0.02437
-78.1,11.71,0.016358
-78.1,11.96,0.014021
-78.1,12.21,0.008012
-78.1,12.46,0.00434
-77.85,-4.29,0.439662
-77.85,-4.04,0.26974
-77.85,-3.79,0.140211
-77.85,-3.54,0.012018
-77.85,-3.29,0.008346
-77.85,-3.04,0.006343
-77.85,-2.79,0.069772
-77.85,-2.54,1.270581
-77.85,-2.29,1.406786
-77.85,-2.04,0.327159
-77.85,-1.79,0.270073
-77.85,-1.54,0.132867
-77.85,-1.29,0.118178
-77.85,-1.04,0.124855
-77.85,-0.79,0.074112
-77.85,-0.54,0.247373
-77.85,-0.29,0.204642
-77.85,-0.04,0.040728
-77.85,0.21,0.037723
-77.85,0.46,0.048072
-77.85,0.71,0.443001
-77.85,0.96,1.574705
-77.85,1.21,3.150746
-77.85,1.46,2.231695
-77.85,1.71,1.258896
-77.85,1.96,0.466703
-77.85,2.21,0.069104
-77.85,2.46,0.081456
-77.85,2.71,0.047739
-77.85,2.96,0.026373
-77.85,3.21,0.012018
-77.85,3.46,0.003005
-77.85,3.71,0.007344
-77.85,3.96,0.005341
-77.85,4.21,0.028376
-77.85,4.46,0.070106
-77.85,4.71,0.102154
-77.85,4.96,0.165583
-77.85,5.21,0.059757
-77.85,5.46,0.017026
-77.85,5.71,0.016692
-77.85,5.96,0.016358
-77.85,6.21,0.025038
-77.85,6.46,0.036722
-77.85,6.71,0.065766
-77.85,6.96,0.107495
-77.85,7.21,0.15924
-77.85,7.46,0.17059
-77.85,7.71,0.168921
-77.85,7.96,0.154232
-77.85,8.21,0.105826
-77.85,8.46,0.060424
-77.85,8.71,0.050743
-77.85,8.96,0.123186
-77.85,9.21,0.206978
-77.85,9.46,0.182275
-77.85,9.71,0.135538
-77.85,9.96,0.095811
-77.85,10.21,0.104491
-77.85,10.46,0.107829
