longitude,latitude,sea_level
-78.916664,-0.08332825,0.0
-78.916664,0.0,0.0
-78.916664,0.08333588,0.0
-78.916664,0.16667175,0.0
-78.916664,0.25,0.0
-78.916664,0.33333588,0.0
-78.916664,0.41667175,0.0
-78.916664,0.5,0.0
-78.916664,0.5833359,0.0
-78.916664,0.66667175,0.0
-78.916664,0.75,0.0
-78.916664,0.8333359,0.0
-78.916664,0.91667175,0.0
-78.916664,1.0,0.0
-78.916664,1.0833359,0.0
-78.916664,1.1666718,0.0
-78.916664,1.25,0.0
-78.916664,1.3333359,0.280607
-78.916664,1.4166718,0.280996
-78.916664,1.5,0.281105
-78.916664,1.5833359,0.0
-78.916664,1.6666718,0.0
-78.916664,1.75,0.0
-78.916664,1.8333359,0.282918
-78.916664,1.9166718,0.283655
-78.916664,2.0,0.283306
-78.916664,2.0833359,0.283245
-78.916664,2.1666718,0.282851
-78.916664,2.25,0.280995
-78.916664,2.3333359,0.280074
-78.916664,2.4166718,0.279883
-78.916664,2.5,0.27915
-78.916664,2.5833359,0.278194
-78.916664,2.6666718,0.276856
-78.916664,2.75,0.274973
-78.916664,2.8333359,0.274982
-78.916664,2.9166718,0.274546
-78.916664,3.0,0.273171
-78.916664,3.0833359,0.272908
-78.916664,3.1666718,0.27216
-78.916664,3.25,0.271092
-78.916664,3.3333359,0.270852
-78.916664,3.4166718,0.271691
-78.916664,3.5,0.272955
-78.916664,3.5833359,0.273325
-78.916664,3.6666718,0.272369
-78.916664,3.75,0.27108
-78.916664,3.8333359,0.26887
-78.916664,3.9166718,0.267708
-78.916664,4.0,0.266252
-78.916664,4.083336,0.264253
-78.916664,4.1666718,0.262891
-78.916664,4.25,0.261666
-78.916664,4.333336,0.259986
-78.916664,4.4166718,0.257433
-78.916664,4.5,0.254726
-78.916664,4.583336,0.253553
-78.916664,4.6666718,0.253396
-78.916664,4.75,0.253073
-78.916664,4.833336,0.252804
-78.916664,4.9166718,0.253302
-78.916664,5.0,0.254473
-78.916664,5.083336,0.255611
-78.916664,5.1666718,0.256468
-78.916664,5.25,0.256931
-78.916664,5.333336,0.256575
-78.916664,5.4166718,0.255848
-78.916664,5.5,0.255177
-78.916664,5.583336,0.254905
-78.916664,5.6666718,0.254934
-78.916664,5.75,0.255093
-78.916664,5.833336,0.25541
-78.916664,5.9166718,0.255798
-78.916664,6.0,0.256637
-78.916664,6.083336,0.257879
-78.916664,6.1666718,0.258779
-78.916664,6.25,0.259217
-78.916664,6.333336,0.258266
-78.916664,6.4166718,0.256841
-78.916664,6.5,0.254975
-78.916664,6.583336,0.253488
-78.916664,6.6666718,0.251595
-78.916664,6.75,0.247468
-78.916664,6.833336,0.242205
-78.916664,6.9166718,0.237089
-78.916664,7.0,0.233328
-78.916664,7.083336,0.231154
-78.916664,7.1666718,0.230848
-78.916664,7.25,0.232771
-78.916664,7.333336,0.236872
-78.916664,7.4166718,0.242773
-78.916664,7.5,0.249295
-78.916664,7.583336,0.2556
-78.916664,7.6666718,0.263005
-78.916664,7.75,0.275144
-78.916664,7.833336,0.290591
-78.916664,7.9166718,0.305498
-78.916664,8.0,0.318236
-78.916664,8.083336,0.326675
-78.916664,8.166672,0.32915
-78.916664,8.25,0.32774
-78.916664,8.333336,0.0
-78.916664,8.416672,0.0
-78.916664,8.5,0.321338
-78.916664,8.583336,0.322333
-78.916664,8.666672,0.324812
-78.916664,8.75,0.327752
-78.916664,8.833336,0.330563
-78.916664,8.916672,0.330302
-78.916664,9.0,0.0
-78.916664,9.083336,0.0
-78.916664,9.166672,0.0
-78.916664,9.25,0.0
-78.916664,9.333336,0.0
-78.916664,9.416672,0.162119
-78.916664,9.5,0.160576
-78.916664,9.583336,0.157677
-78.916664,9.666672,0.154965
-78.916664,9.75,0.152857
-78.916664,9.833336,0.149639
-78.916664,9.916672,0.143581
-78.916664,10.0,0.133439
-78.916664,10.083336,0.118778
-78.916664,10.166672,0.100586
-78.916664,10.25,0.081783
-78.916664,10.333336,0.065589
-78.916664,10.416672,0.053001
-78.916664,10.5,0.043188
-78.916664,10.583336,0.035511
-78.916664,10.666672,0.031247
-78.916664,10.75,0.029821
-78.916664,10.833336,0.030773
-78.916664,10.916672,0.031842
-78.916664,11.0,0.030956
-78.916664,11.083336,0.030513
-78.916664,11.166672,0.032562
-78.916664,11.25,0.036615
-78.916664,11.333336,0.04148
-78.916664,11.416672,0.048288
-78.916664,11.5,0.055665
-78.916664,11.583336,0.063786
-78.916664,11.666672,0.074357
-78.916664,11.75,0.087018
-78.916664,11.833336,0.101046
-78.916664,11.916672,0.115717
-78.916664,12.0,0.12994
-78.916664,12.083336,0.142632
-78.916664,12.166672,0.153705
-78.916664,12.25,0.170228
-78.916664,12.333336,0.190543
-78.916664,12.416672,0.21056
-78.83333,-4.25,0.0
-78.83333,-4.166664,0.0
-78.83333,-4.0833282,0.0
-78.83333,-4.0,0.0
-78.83333,-3.9166641,0.0
-78.83333,-3.8333282,0.0
-78.83333,-3.75,0.0
-78.83333,-3.6666641,0.0
-78.83333,-3.5833282,0.0
-78.83333,-3.5,0.0
-78.83333,-3.4166641,0.0
-78.83333,-3.3333282,0.0
-78.83333,-3.25,0.0
-78.83333,-3.1666641,0.0
