DN,geometry
7,"POLYGON ((-77.13556197066455 3.144318100953488, -77.13556197066455 3.089527683093023, -77.12186436620253 3.089527683093023, -77.12186436620253 3.10322528755814, -77.1081667617405 3.10322528755814, -77.1081667617405 3.089527683093023, -77.08077155281646 3.089527683093023, -77.08077155281646 3.116922892023256, -77.06707394835443 3.116922892023256, -77.06707394835443 3.130620496488372, -77.09446915727848 3.130620496488372, -77.09446915727848 3.116922892023256, -77.12186436620253 3.116922892023256, -77.12186436620253 3.144318100953488, -77.13556197066455 3.144318100953488))"
7,"POLYGON ((-76.98488832158228 3.130620496488372, -76.98488832158228 3.089527683093023, -76.97119071712025 3.089527683093023, -76.97119071712025 3.10322528755814, -76.95749311265823 3.10322528755814, -76.95749311265823 3.116922892023256, -76.97119071712025 3.116922892023256, -76.97119071712025 3.130620496488372, -76.98488832158228 3.130620496488372))"
6,"POLYGON ((-77.08077155281646 3.116922892023256, -77.08077155281646 3.089527683093023, -77.06707394835443 3.089527683093023, -77.06707394835443 3.116922892023256, -77.08077155281646 3.116922892023256))"
8,"POLYGON ((-76.91640029927215 3.116922892023256, -76.91640029927215 3.10322528755814, -76.90270269481012 3.10322528755814, -76.90270269481012 3.089527683093023, -76.88900509034809 3.089527683093023, -76.88900509034809 3.116922892023256, -76.91640029927215 3.116922892023256))"
7,"POLYGON ((-76.9437955081962 3.116922892023256, -76.9437955081962 3.10322528755814, -76.95749311265823 3.10322528755814, -76.95749311265823 3.089527683093023, -76.90270269481012 3.089527683093023, -76.90270269481012 3.10322528755814, -76.91640029927215 3.10322528755814, -76.91640029927215 3.116922892023256, -76.9437955081962 3.116922892023256))"
6,"POLYGON ((-76.69723862787974 3.10322528755814, -76.69723862787974 3.089527683093023, -76.6698434189557 3.089527683093023, -76.6698434189557 3.10322528755814, -76.69723862787974 3.10322528755814))"
7,"POLYGON ((-77.08077155281646 3.089527683093023, -77.08077155281646 3.075830078627907, -77.06707394835443 3.075830078627907, -77.06707394835443 3.089527683093023, -77.08077155281646 3.089527683093023))"
7,"POLYGON ((-76.88900509034809 3.116922892023256, -76.88900509034809 3.089527683093023, -76.90270269481012 3.089527683093023, -76.90270269481012 3.075830078627907, -76.87530748588607 3.075830078627907, -76.87530748588607 3.089527683093023, -76.86160988142404 3.089527683093023, -76.86160988142404 3.10322528755814, -76.87530748588607 3.10322528755814, -76.87530748588607 3.116922892023256, -76.88900509034809 3.116922892023256))"
1,"POLYGON ((-76.09454403155063 3.144318100953488, -76.09454403155063 3.130620496488372, -76.10824163601265 3.130620496488372, -76.10824163601265 3.116922892023256, -76.12193924047467 3.116922892023256, -76.12193924047467 3.075830078627907, -76.1356368449367 3.075830078627907, -76.1356368449367 3.062132474162791, -76.10824163601265 3.062132474162791, -76.10824163601265 3.075830078627907, -76.0808464270886 3.075830078627907, -76.0808464270886 3.089527683093023, -76.09454403155063 3.089527683093023, -76.09454403155063 3.116922892023256, -76.06714882262658 3.116922892023256, -76.06714882262658 3.144318100953488, -76.09454403155063 3.144318100953488))"
6,"POLYGON ((-77.01228353050632 3.158015705418605, -77.01228353050632 3.075830078627907, -76.9985859260443 3.075830078627907, -76.9985859260443 3.062132474162791, -76.98488832158228 3.062132474162791, -76.98488832158228 3.075830078627907, -76.97119071712025 3.075830078627907, -76.97119071712025 3.048434869697675, -76.95749311265823 3.048434869697675, -76.95749311265823 3.062132474162791, -76.93009790373418 3.062132474162791, -76.93009790373418 3.048434869697675, -76.91640029927215 3.048434869697675, -76.91640029927215 3.075830078627907, -76.90270269481012 3.075830078627907, -76.90270269481012 3.089527683093023, -76.95749311265823 3.089527683093023, -76.95749311265823 3.10322528755814, -76.97119071712025 3.10322528755814, -76.97119071712025 3.089527683093023, -76.98488832158228 3.089527683093023, -76.98488832158228 3.144318100953488, -76.9985859260443 3.144318100953488, -76.9985859260443 3.158015705418605, -77.01228353050632 3.158015705418605))"
